City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Swan Hill,AU,2021-10-11 21:51:59,-35.3378,143.5544,52.03,53,0,6.82
68,Parksville,CA,2021-10-11 21:55:34,49.3163,-124.3195,54.73,66,41,3.0
69,Makakilo City,US,2021-10-11 21:55:34,21.3469,-158.0858,83.61,58,75,9.22
70,Linxia,CN,2021-10-11 21:55:35,35.6003,103.2064,48.16,81,17,2.26
71,Cabo San Lucas,MX,2021-10-11 21:55:35,22.8909,-109.9124,93.51,64,48,7.67
72,Alyangula,AU,2021-10-11 21:55:36,-13.8483,136.4192,73.27,100,95,0.0
73,Tailai,CN,2021-10-11 21:55:36,46.3833,123.4,45.19,50,4,7.65
74,Souillac,MU,2021-10-11 21:55:37,-20.5167,57.5167,74.35,94,40,4.61
75,Husavik,IS,2021-10-11 21:55:37,66.0449,-17.3389,31.91,74,98,6.22
76,Vaini,TO,2021-10-11 21:55:37,-21.2,-175.2,75.36,78,20,11.5
77,Mahebourg,MU,2021-10-11 21:55:38,-20.4081,57.7,74.25,94,40,4.61
78,Babaeski,TR,2021-10-11 21:55:38,41.4325,27.0931,59.04,93,83,5.21
79,Nuuk,GL,2021-10-11 21:55:39,64.1835,-51.7216,36.88,69,39,10.0
80,Saurimo,AO,2021-10-11 21:55:39,-9.6608,20.3916,65.48,83,100,4.21
81,Valparaiso,CL,2021-10-11 21:55:40,-33.0393,-71.6273,58.64,81,90,5.75
82,Daudnagar,IN,2021-10-11 21:55:40,25.0333,84.4,77.18,75,0,3.49
83,Hilo,US,2021-10-11 21:55:41,19.7297,-155.09,78.53,88,90,5.75
84,Arawa,PG,2021-10-11 21:55:41,-6.2132,155.5367,82.56,78,93,1.92
85,Port Elizabeth,ZA,2021-10-11 21:55:42,-33.918,25.5701,59.29,72,40,5.75
86,Fortuna,US,2021-10-11 21:55:42,40.5982,-124.1573,63.48,60,1,4.0
87,Hobart,AU,2021-10-11 21:55:43,-42.8794,147.3294,50.11,78,75,1.99
88,Faya,SA,2021-10-11 21:55:44,18.3851,42.4509,64.51,23,99,8.61
89,Hithadhoo,MV,2021-10-11 21:55:44,-0.6,73.0833,82.35,73,100,16.49
90,Iracoubo,GF,2021-10-11 21:55:44,5.4802,-53.2011,81.45,80,60,11.77
91,Barrow,US,2021-10-11 21:55:45,71.2906,-156.7887,24.91,85,99,12.37
92,Ahipara,NZ,2021-10-11 21:55:45,-35.1667,173.1667,55.6,83,100,14.09
93,Adrar,MR,2021-10-11 21:55:46,20.5022,-10.0711,89.01,14,38,2.39
94,Provideniya,RU,2021-10-11 21:55:46,64.3833,-173.3,32.11,74,90,6.71
95,Makat,KZ,2021-10-11 21:55:46,47.6469,53.3463,49.84,52,29,8.39
96,Boralday,KZ,2021-10-11 21:55:47,43.3578,76.8594,44.46,81,90,2.24
97,Tuatapere,NZ,2021-10-11 21:55:47,-46.1333,167.6833,43.56,81,99,11.95
98,Bumba,CD,2021-10-11 21:55:48,2.1833,22.4667,69.94,94,98,2.01
99,Sola,VU,2021-10-11 21:55:48,-13.8833,167.55,81.27,69,75,0.0
100,Jamestown,US,2021-10-11 21:55:49,42.097,-79.2353,73.04,69,1,7.0
101,Kapaa,US,2021-10-11 21:55:49,22.0752,-159.319,84.18,71,12,5.01
102,Manzanillo,CU,2021-10-11 21:55:49,20.3433,-77.1167,82.72,72,38,5.97
103,Le Vauclin,MQ,2021-10-11 21:55:50,14.5452,-60.8388,86.13,79,40,8.05
104,Codrington,AU,2021-10-11 21:55:50,-38.2667,141.9667,46.06,76,20,11.7
105,Luena,AO,2021-10-11 21:55:51,-11.7833,19.9167,71.69,53,97,3.83
106,Sao Domingos,BR,2021-10-11 21:55:51,-13.3983,-46.3183,82.87,42,69,2.55
107,Soe,ID,2021-10-11 21:55:51,-9.8607,124.284,68.05,71,85,2.46
108,Tilichiki,RU,2021-10-11 21:55:52,60.4667,166.1,24.98,68,8,8.88
109,Singaraja,ID,2021-10-11 21:55:52,-8.112,115.0882,74.97,78,84,7.7
110,Energeticheskiy,KZ,2021-10-11 21:55:53,43.4278,77.0222,45.16,81,90,2.24
111,Gatton,AU,2021-10-11 21:55:53,-27.55,152.2833,65.41,90,100,2.89
112,Jaisinghnagar,IN,2021-10-11 21:55:54,23.7,81.3833,67.89,70,0,3.62
113,Arraial Do Cabo,BR,2021-10-11 21:55:54,-22.9661,-42.0278,67.96,88,75,11.5
114,Bluff,NZ,2021-10-11 21:55:55,-46.6,168.3333,45.84,61,97,19.42
115,Kati,ML,2021-10-11 21:55:55,12.7441,-8.0726,80.01,76,100,0.43
116,Banda Aceh,ID,2021-10-11 21:55:55,5.5577,95.3222,79.2,76,98,14.81
117,Christchurch,NZ,2021-10-11 21:55:09,-43.5333,172.6333,45.32,88,75,8.01
118,Buraydah,SA,2021-10-11 21:55:56,26.326,43.975,81.05,16,0,8.1
119,Eureka,US,2021-10-11 21:55:42,40.8021,-124.1637,63.75,66,1,10.0
120,Tromso,NO,2021-10-11 21:55:57,69.6496,18.957,42.82,93,75,4.61
121,Ilulissat,GL,2021-10-11 21:55:57,69.2167,-51.1,23.47,81,100,5.5
122,Oxapampa,PE,2021-10-11 21:55:58,-10.5775,-75.4017,67.17,87,71,0.72
123,Dukat,RU,2021-10-11 21:55:58,62.55,155.55,11.53,96,95,4.68
124,Chapais,CA,2021-10-11 21:55:59,49.7834,-74.8492,60.58,90,100,10.83
125,Tarauaca,BR,2021-10-11 21:52:06,-8.1614,-70.7656,85.5,58,59,1.43
126,Stykkisholmur,IS,2021-10-11 21:56:00,65.0757,-22.7297,39.79,74,84,2.37
127,Granja,BR,2021-10-11 21:56:00,-3.1203,-40.8261,80.24,71,36,9.91
128,Olafsvik,IS,2021-10-11 21:56:01,64.8945,-23.7142,41.86,83,97,7.05
129,Masallatah,LY,2021-10-11 21:56:01,32.6167,14.0,68.09,60,41,11.83
130,Tshikapa,CD,2021-10-11 21:56:02,-6.4167,20.8,71.74,95,99,2.17
